,sound_name,content,embedding_x,embedding_y,cluster
0,PAD Hold Me Close,ONII-CHAN Pad,0.0037462297,0.5126734,19
1,PAD Crystal Caves,ONII-CHAN Pad,0.3467516,0.6851596,15
2,PAD Cant You Hear The Bells,ONII-CHAN Pad,-0.7233855,0.2918607,12
3,PAD A Pad 4 Your OP,ONII-CHAN Pad,-0.43325606,0.5204657,6
4,PAD Clannad,ONII-CHAN Pad,-0.5640789,0.44098413,12
5,CHORD Accordion,ONII-CHAN Chord,0.031089297,0.30173633,19
6,CHORD Panda Panda Panda,ONII-CHAN Chord,0.65660876,0.21624811,15
7,CHORD Eroge,ONII-CHAN Chord,0.58064425,0.3811362,15
8,CHORD Cross Rhode,ONII-CHAN Chord,-0.8329758,0.05094916,8
9,CHORD Stoney Cat,ONII-CHAN Chord,-0.04737436,0.32527977,19
10,CHORD Loli Trumpets,ONII-CHAN Chord,0.16027974,0.38506275,19
11,CHORD Sneek Sneek,ONII-CHAN Chord,-0.421917,0.28491807,6
12,CHORD Bubble Bath,ONII-CHAN Chord,-0.5955842,0.4240837,12
13,CHORD Open Me Up,ONII-CHAN Chord,-0.37631118,0.38424185,6
14,CHORD Bakayaro,ONII-CHAN Chord,0.4374269,0.01647112,15
15,CHORD Flower Bed,ONII-CHAN Chord,0.6627286,0.17820099,15
16,CHORD Racer,ONII-CHAN Chord,0.4044917,0.083705895,15
17,CHORD Cawfee Chords,ONII-CHAN Chord,0.35635924,0.15815973,15
18,CHORD Pizza Sauce,ONII-CHAN Chord,0.6344199,0.1696741,15
19,CHORD Panda XPress,ONII-CHAN Chord,0.18388858,0.47150987,19
20,REF Analog_PWM_Mdc,OSC,-0.2010622,-0.4223144,2
21,REF Analog_Basic Mini,OSC,-0.104022115,-0.37326303,2
22,REF Spectral_Oddpass [SN],OSC,0.25981268,-0.4839419,4
23,REF Spectral_Monster 1 [SL],OSC,-0.3188435,-0.46172023,2
24,REF Digital_Dull_toy,OSC,-0.48966855,-0.22144635,1
25,REF Digital_Dist Fwapper SQ,OSC,0.1877878,-0.64105093,4
26,REF Analog_MiniBass,OSC,-0.43827695,-0.45323694,1
27,REF Digital_FMFM,OSC,-0.6648826,-0.2744575,1
28,REF Analog_PWM Juno,OSC,-0.16559622,-0.4978527,2
29,REF Analog_PWM Reso,OSC,0.1328815,-0.6028534,4
30,REF Analog_BS2-Acid,OSC,-0.2136786,-0.35537726,2
31,REF Spectral_Solid Phase 2 [SL],OSC,-0.35878664,-0.39708844,2
32,REF Spectral_Trilobyte 1 [SL],OSC,-0.2355588,-0.5345697,2
33,REF Analog_Basic_Mdc,OSC,-0.063806966,-0.43770692,2
34,REF Digital_FFT_Animal 1,OSC,-0.8905956,0.48079062,16
35,REF Digital_Scream,OSC,-0.8494069,-0.06030434,8
36,REF Spectral_Phase Werb [SL],OSC,-0.23600271,-0.40537754,2
37,REF Analog_Jno,OSC,-0.61131614,0.3548584,12
38,REF Digital_GS-xello,OSC,-0.3652891,-0.5284232,2
39,REF Spectral_Squelchy 2 [SL],OSC,-0.29989097,-0.3776561,2
40,REF Analog_Basic_Cjw,OSC,-0.8597276,-0.099009044,8
41,REF Digital_Wraith,OSC,0.5851106,-0.63259554,5
42,REF Digital_VintageSynth,OSC,0.16964994,-0.6337858,4
43,REF Digital_DirtySaw,OSC,-0.08536928,-0.5302361,2
44,REF Vowel_Fred_Likes_Bass,OSC,-0.18324886,-0.26913235,2
45,REF Digital_Hoo,OSC,0.39743996,-0.8464431,11
46,REF Digital_Yoy64,OSC,-0.6348012,0.21232519,12
47,REF Digital_Reese,OSC,-0.59947497,-0.19183809,1
48,REF Spectral_Electric Guitar [SL],OSC,0.21439728,-0.44750345,4
49,REF Spectral_Reesey Mess 1[SL],OSC,-0.34961626,-0.48408547,2
